nº;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;;;
114;bon;°ɲ°ù°ŋ;ɲɔ́ɔ̀ŋ;;ɲù;ɲwàŋ;;ɲwà;ɲùāŋ;ɲiuŋ;;;;;
115;bonne chose;°b°ɛ̀°C°à;;;mbɛ̀sâ;;mbɩ̀à;;;mbʰa;mbɩ̀à;;*b*e*n*ɡ*a;;
116;bosse;;;;d̥úú;ntúŋɔ́;ntúó;;;;;;;;
117;bouche;°n°ù°m°b°Ì;nòmbò;nyùmbò;nùb;nùm;nùm;;nùmbì;num;nʊ̀m;nə́mbì;*d*ù*m*b*ù;;
118;boucle d'oreille;°p°ù°n°ɡ°á;və̀ŋɡā;mbùngá;vùnɡá;mpùnɡá;mpùŋà;vùnɡá;;mbʰunɡa;;;;;
119;bouclier;;;;ɡùù;nkùbɔ̀;nkùò;nkùwò;;;nkùbò;;*ɡ*ù*b*à;;
120;boue;°b°ɔ̀°d°ɔ̀;bwɔ̀ɾə̀ʔ;;bɔ̀tɔ̀;;;;ɓɔ̀ɔ̄;;bɔ́rɔ́;pɔ̀tɔ̀pɔ́tɔ̀;;;
121;bouger;°k°ù°b°à°l°à;kfìyà;kfùbala;kù;kùbèlà;kùblà;;kùbɔ̀;pfuala;kùblà;;;;
122;bouillir 1;°ɡ°ú°l°Ì;ɡvúŋɡə̀lə̀;;ɥîl;wûl;ɡûl;wù;wūlì;;ɡwîl;;;;
123;bouillir 2;°t°ɔ̀°K°Ì;tòɡè;tɔ̀gɛ;tèk;;;;tɔ̀ɡì;twɔɡ;tœ̀ʔ;;*t*ò*k;;
124;bouillir 3;°t°ɔ̀°K°à;twàʔ;tɔ̀à;twâ;;twàʔ;cwààɡ;;tuaˤ;;;*t*ò*k;;
125;braise;°â;mā;;áà;dá;â;á;â;asiəˤ;á;;;;
126;branche 1;°l°ɔ̂°b;;;;lɔ̂b;;lôw;;loo;lɔ́ɔ̀;lɔ̀;;;
127;branche 2;°l°â°ŋ;láà;làwɔ́;lɛ̂ŋ;;;lwóŋ;lāàŋ;;;;;;
128;briller 1;°k°à°s;;;kàs;;kàh;kòs;;;kàh;;;;
129;briller 2;°p°à°n°à;pànè;pàno;;;pàn;fààn;pànɔ̀;panaa;;;;;
130;briller 3;;;;g̥ɛ́nɡbà;;ncjɛ̀nwà;nkə̀nə̀wà;;;nkjɛ̀nbà;;;;
131;brindille;°k°w°a;;;ɡwáɡwà;;nkpânkpà;;;;nkwâŋàá;;;;
132;brouillard;°ɟ°ù°n°d°á;;;ɡùd;ɟùndɔ́;ɟwìné;ɡúndà;;;ɟwìnó;;;;
133;bruit;°d°ǔ°ŋ;dvɔ̄ŋ;dvṵ̌;;dùŋ;dùú;;dùūŋ;;dùú;;;;
134;brûler;°d°í°K°à;dzə́ɡə̀;jíyɛ;dík;;dîʔ;ɟíɡàl;dīɡɔ̀;dziəˤ;díɡô;dzíɡɟà;;;
135;buffle;;ʒùmə̄;;zwóm;ncwɔ̀m;nzòmó;ʒwàmə́;ncòmō;;nswǒm;;;°j°ò°m°á;
136;cacher 1;°s°ɔ̀°l°Ì;ʃòlì;sɔ̀lɛ;sèl;;sòl;ʃwèl;ʃɔ̀lì;swɛl;sœ̀l;ʃwělì;;;
137;cacher 2;°s°ɔ̀°b;;swàwɔ;sɔ̀w;ʃwàb;swàb;ʃwààw;;;;;;;
138;cachette;°s°ɔ̌;ʃùwō;sɔ̀lá;sɔ̌;;sǒ;ʃwòó;;;sǒ;;;;
139;cadavre;°m°ú°ŋ°V̀;;bìmbó;múù;múŋə̀;múù;;mûŋ;;múù;;;;
140;cadeau;°d°â°s;dás;;;âz;âh;ɟás;;;dâh;;;;
141;cafard;°p°ɛ́°n°ɟ;pə́pə́ŋɟì;pɛ́ɛ́pɛ́ɛ̀;nàpéz;fînɟ;pêh;fɛ̀ɛ̀nʒ;;peepee;;;;;
142;calao longibande;°k°w°á°n°ɡ;;;kwáɡ;;kpáŋ;;;;kpáŋ;;;;
143;calebasse;°b°é°l°à;;;;bâl;bélè;bwálá;;bilɛ;;;;;
144;calme;°m°j°ǒ°ŋ;mìɔ̄ŋ;;;mjòŋ;mjǒŋ;;;;mjòóŋ;;;;
145;caméléon;°N°ɡ°ó°l°ì;ɡúŋɡùlù;dyúngúlɛ̀;ɡóɡól;ɟúŋnkûl;ɟʊ́nkʊ̂l;ɡúnkwîl;ɗónkólī;ɟunɡul;;kwònkùlì;*k*ó*n*ɡ*ò*d*í;;
146;campement;°p°ɛ̀°T;;;pɛ̀t;;pɛ̀r;;;;pɛ̀r;;;;
147;canard 1;°s°Ó°K°Ó;;;sɔ́kɔ́ɔ́;;;;sōzō;;sɔ̀ɡɔ́;sòɡó;;;
148;canard 2;°l°ɔ̀°l°V̀;lwàlè;lɔ̀lɔ̀;;lwə̀lɔ̀;lwàl;lwàl;;lɔlɔ;;;;;
149;canne;°s°ú°m°b°V̀;;;;ʃúmɔ̀;;;ʃūmbì;pfumbi;;;;;
150;canne à pêche;°k°p°á°K°á;;;ɡàkà;páɡa;;kpáɡə́sá;;;kpáɡá;;;;
151;canne à sucre;;ɡwòʔō;ngùɔ́;g̥wǎ;nkwɔ̀ɡ;nkòʔó;nkwàɡé;;nɡwəˤ;nkwoʔó;;*k*ʊ̀;;
